bleu,google_bleu,meteor,rougeL,cider,tgt_language,percentage
0.41660459598937505,0.3521225055376306,0.41480085151407514,0.4515889012668461,0.053227,Burmese,20%
0.010900035238375218,0.043130324271728984,0.09362084062215582,0.13583370257303928,0.100926,Malay,20%
0.05234989608367138,0.08603045902854362,0.19661106118069407,0.16548817246177558,0.075761,Korean,20%
0.015038621303050085,0.04531167366814014,0.10934692563020282,0.12980900282761093,0.059035,Setswana,20%
0.007023438324985514,0.024282521041018305,0.05878386004363374,0.0754575854022665,0.034205,IsiZulu,20%
0.027143145284189995,0.05882177967488139,0.20799365031218361,0.18149011807016535,0.159124,Vietnamese,20%
0.02400420006838153,0.04845896999863461,0.11551767200864464,0.15313620611253986,0.075211,Hindi,20%
0.07250380290336467,0.10397133455037427,0.24878579071903856,0.20734034039839117,0.081973,Thai,20%
0.005027711624705609,0.026031767129660398,0.06204054629446526,0.08845692711008205,0.041761,Swahili,20%
0.023542024947026396,0.035087610134899694,0.07817942867410486,0.09646813171690591,0.049771,Kinyarwanda,20%
0.0029755163057897348,0.02499436640877338,0.06022852052016842,0.09412300603722774,0.072223,Urdu,20%
0.0027965308564041717,0.03147690406303105,0.08198600941660289,0.09499100930456357,0.026901,Uzbek,20%
0.0028277158721932236,0.02787567509051325,0.06275582912390205,0.09446297190384723,0.026471,Hausa,20%
0.018115855516283377,0.07854948693928236,0.1882456510607523,0.16668134036130577,0.070644,Kazakh,20%
0.03333224416541801,0.057513141681958,0.13290000104615768,0.14657722277233703,0.057616,Turkish,20%
0.008797470675273224,0.031921099399020526,0.07231721200016965,0.09754178836195794,0.042911,Darija,20%
0.019700966499590557,0.054066860718119315,0.12752752126347486,0.15385831146242845,0.043144,Tagalog,20%
0.12053338409155367,0.14539581129984963,0.2985777593181343,0.26580555105292825,0.071159,Kyrgyz,20%
0.0,0.01843989249983062,0.04760985148531914,0.06608797133479916,0.023661,IsiNdebele,20%
0.011267917944889409,0.03890815299985017,0.207936449951038,0.12365137014663796,0.053091,Igbo,20%
0.0,0.014801366937206323,0.03378797368262062,0.053997029389360844,0.019409,Emakhuwa,20%
0.0,0.014817367332873881,0.035320981485742954,0.052228912044518135,0.020882,IsiXhosa,20%
0.01406030311979247,0.032713417704521804,0.07245917280866383,0.10206356531687605,0.100736,Tamil,20%
0.00458350909120113,0.024772929444262373,0.11723875151110323,0.08314892044153888,0.048335,Yoruba,20%
0.011973856630163498,0.040799823568330514,0.09037517766246118,0.13663164508963266,0.075906,Indonesian,20%
0.4579584508577086,0.361188175643356,0.40458211935617333,0.4645143577023869,0.054949,Burmese,80%
0.011585335756064052,0.04338813869714838,0.09375023233408236,0.13592757936860458,0.104636,Malay,80%
0.04669966232445437,0.08387184422053662,0.1918713362309466,0.1635029553084804,0.074009,Korean,80%
0.01581167742805654,0.04425006431695395,0.1040285608407232,0.1288262275939408,0.061775,Setswana,80%
0.007687605030434037,0.02485987613121766,0.05856269564835396,0.07496523038215744,0.034464,IsiZulu,80%
0.02897296033182319,0.05858329173662477,0.20616748833043075,0.17962715944694982,0.159079,Vietnamese,80%
0.024534343825589423,0.049763411786394644,0.11904851695789337,0.1554414759695315,0.074691,Hindi,80%
0.07147010459733379,0.11210926125537034,0.27482636588471954,0.2105493948490798,0.076308,Thai,80%
0.00503920994074341,0.02410918273277486,0.05719724312377395,0.08330573896913106,0.035104,Swahili,80%
0.022006947671212015,0.034492588369441274,0.0766852159106842,0.09618607023993242,0.049592,Kinyarwanda,80%
0.005499746603625992,0.025452570601013757,0.0629509312558119,0.09472870950681986,0.072066,Urdu,80%
0.002037432172338306,0.0316274388355528,0.08150215549058239,0.0951359035502455,0.027892,Uzbek,80%
0.002730816940677425,0.029238552939413846,0.06768813798337839,0.09524915858186496,0.033422,Hausa,80%
0.015511439347014114,0.0692779856179574,0.1684552849658093,0.16443884711881251,0.033391,Kazakh,80%
0.039907559118870305,0.060635523733567516,0.13769017603328304,0.15017514106346655,0.06208,Turkish,80%
0.007915637601059854,0.03158064126805327,0.0728863580582782,0.09831925780898909,0.039468,Darija,80%
0.022036827965797732,0.05629555048540999,0.13724709653807776,0.15609266774648464,0.046195,Tagalog,80%
0.13102563131070977,0.1525627126502615,0.3136527679623909,0.27416342215312844,0.063825,Kyrgyz,80%
0.0,0.018636726319389035,0.04684078776423405,0.0631386593390482,0.025657,IsiNdebele,80%
0.013309057437656095,0.04267227531925147,0.2278704763484996,0.12691955104848407,0.058438,Igbo,80%
0.0,0.014694971145919208,0.033925928654096375,0.05328197099068138,0.019067,Emakhuwa,80%
0.002724044465148673,0.016581669403866656,0.03833825770456592,0.05373939522919661,0.027563,IsiXhosa,80%
0.013505327645974705,0.0345252560319389,0.07399538036372229,0.10516812367995654,0.102137,Tamil,80%
0.004812052500701068,0.02477234954001732,0.11749831832299097,0.0830889944730198,0.050402,Yoruba,80%
